iter	Passed	Remaining
923	13017	1070
924	13029	1056
925	13041	1042
926	13054	1027
927	13066	1013
928	13078	999
929	13091	985
930	13103	971
931	13116	956
932	13128	942
933	13141	928
934	13153	914
935	13166	900
936	13178	886
937	13190	871
938	13203	857
939	13215	843
940	13227	829
941	13239	815
942	13251	801
943	13264	786
944	13276	772
945	13289	758
946	13302	744
947	13314	730
948	13327	716
949	13339	702
950	13352	687
951	13364	673
952	13377	659
953	13389	645
954	13402	631
955	13415	617
956	13427	603
957	13440	589
958	13452	575
959	13465	561
960	13477	546
961	13489	532
962	13502	518
963	13514	504
964	13526	490
965	13539	476
966	13552	462
967	13564	448
968	13576	434
969	13589	420
970	13601	406
971	13614	392
972	13626	378
973	13638	364
974	13651	350
975	13663	335
976	13676	321
977	13690	307
978	13703	293
979	13716	279
980	13729	265
981	13742	251
982	13755	237
983	13768	223
984	13782	209
985	13794	195
986	13807	181
987	13821	167
988	13834	153
989	13846	139
990	13859	125
991	13872	111
992	13884	97
993	13897	83
994	13909	69
995	13921	55
996	13934	41
997	13947	27
998	13959	13
999	13972	0
